OBJECTID,Site_Description,Date_Sample_Collected,Result_Name,Result_Label
1,Mundoo Barrage Upstream,30/07/2025,Geosmin-MIB producing BGA - Total,"256,000 Cells/L"
2,Mundoo Barrage Upstream,30/07/2025,Diatoms - Total,"2,610,000 Cells/L"
3,Mundoo Barrage Upstream,30/07/2025,Blue Green Algae - Total,"804,000,000 Cells/L"
4,Mundoo Barrage Upstream,30/07/2025,Toxin producing BGA - Total,0 Cells/L
5,Mundoo Barrage Upstream,30/07/2025,Green Algae - Total,"27,600,000 Cells/L"
6,Mundoo Barrage Upstream,30/07/2025,Algae - Total,"835,000,000 Cells/L"
7,Mundoo Barrage Upstream,30/07/2025,Chodatella_(Lagerheimia),"720,000 Cells/L"
8,Mundoo Barrage Upstream,30/07/2025,Tetrastrum,"800,000 Cells/L"
9,Mundoo Barrage Upstream,30/07/2025,Chlamydomonas,"690,000 Cells/L"
10,Mundoo Barrage Upstream,30/07/2025,Euglena,"300,000 Cells/L"
11,Mundoo Barrage Upstream,30/07/2025,Synedra,"190,000 Cells/L"
12,Mundoo Barrage Upstream,30/07/2025,Oocystis sp_1_(small_cells),"1,110,000 Cells/L"
13,Mundoo Barrage Upstream,30/07/2025,Crucigenia,"3,200,000 Cells/L"
14,Mundoo Barrage Upstream,30/07/2025,Closterium,"130,000 Cells/L"
15,Mundoo Barrage Upstream,30/07/2025,Romeria,"1,780,000 Cells/L"
16,Mundoo Barrage Upstream,30/07/2025,Planktolyngbya,"128,000,000 Cells/L"
17,Mundoo Barrage Upstream,30/07/2025,Other Organisms,"280,000 Cells/L"
18,Mundoo Barrage Upstream,30/07/2025,Aulacoseira,"2,420,000 Cells/L"
19,Mundoo Barrage Upstream,30/07/2025,Monoraphidium,"6,120,000 Cells/L"
20,Mundoo Barrage Upstream,30/07/2025,Colonial green algae,"1,930,000 Cells/L"
21,Mundoo Barrage Upstream,30/07/2025,Planctonema,"2,720,000 Cells/L"
22,Mundoo Barrage Upstream,30/07/2025,Phytoflagellates,"1,820,000 Cells/L"
23,Mundoo Barrage Upstream,30/07/2025,Aphanizomenon,"2,080,000 Cells/L"
24,Mundoo Barrage Upstream,30/07/2025,Merismopedia,"112,000,000 Cells/L"
25,Mundoo Barrage Upstream,30/07/2025,Oocystis,"380,000 Cells/L"
26,Mundoo Barrage Upstream,30/07/2025,Scenedesmus,"8,000,000 Cells/L"
27,Mundoo Barrage Upstream,30/07/2025,Pseudanabaena,"256,000 Cells/L"
28,Mundoo Barrage Upstream,30/07/2025,Cyanogranis,"188,000,000 Cells/L"
29,Mundoo Barrage Upstream,30/07/2025,Cyanodictyon,"372,000,000 Cells/L"
30,Mundoo Barrage Upstream,26/06/2025,Green Algae - Total,"25,100,000 Cells/L"
31,Mundoo Barrage Upstream,26/06/2025,Geosmin-MIB producing BGA - Total,"516,000 Cells/L"
32,Mundoo Barrage Upstream,26/06/2025,Toxin producing BGA - Total,"9,590,000 Cells/L"
33,Mundoo Barrage Upstream,26/06/2025,Algae - Total,"1,360,000,000 Cells/L"
34,Mundoo Barrage Upstream,26/06/2025,Blue Green Algae - Total,"1,330,000,000 Cells/L"
35,Mundoo Barrage Upstream,26/06/2025,Diatoms - Total,"210,000 Cells/L"
36,Mundoo Barrage Upstream,26/06/2025,Raphidiopsis mediterranea,"158,000 Cells/L"
37,Mundoo Barrage Upstream,26/06/2025,Cuspidothrix,"180,000 Cells/L"
38,Mundoo Barrage Upstream,26/06/2025,Planctonema,"5,810,000 Cells/L"
39,Mundoo Barrage Upstream,26/06/2025,Cyanocatena,"368,000,000 Cells/L"
40,Mundoo Barrage Upstream,26/06/2025,Aphanothece,"15,800,000 Cells/L"
41,Mundoo Barrage Upstream,26/06/2025,Cyanogranis,"295,000,000 Cells/L"
42,Mundoo Barrage Upstream,26/06/2025,Pseudanabaena,"422,000 Cells/L"
43,Mundoo Barrage Upstream,26/06/2025,Nodularia spumigena,"72,000 Cells/L"
44,Mundoo Barrage Upstream,26/06/2025,Pannus,"84,000,000 Cells/L"
45,Mundoo Barrage Upstream,26/06/2025,Phormidium,"94,000 Cells/L"
46,Mundoo Barrage Upstream,26/06/2025,Scenedesmus,"1,600,000 Cells/L"
47,Mundoo Barrage Upstream,26/06/2025,Cyanodictyon,"171,000,000 Cells/L"
48,Mundoo Barrage Upstream,26/06/2025,Planktolyngbya,"198,000,000 Cells/L"
49,Mundoo Barrage Upstream,26/06/2025,Other Organisms,"4,520,000 Cells/L"
50,Mundoo Barrage Upstream,26/06/2025,Aulacoseira,"30,000 Cells/L"
51,Mundoo Barrage Upstream,26/06/2025,Monoraphidium,"16,200,000 Cells/L"
52,Mundoo Barrage Upstream,26/06/2025,Aphanocapsa,"16,200,000 Cells/L"
53,Mundoo Barrage Upstream,26/06/2025,Merismopedia,"142,000,000 Cells/L"
54,Mundoo Barrage Upstream,26/06/2025,Tetrastrum,"1,500,000 Cells/L"
55,Mundoo Barrage Upstream,26/06/2025,Microcystis flos-aquae,"194,000 Cells/L"
56,Mundoo Barrage Upstream,26/06/2025,Nitzschia,"180,000 Cells/L"
57,Mundoo Barrage Upstream,26/06/2025,Aphanizomenon,"33,000,000 Cells/L"
58,Mundoo Barrage Upstream,26/06/2025,Romeria,"1,260,000 Cells/L"
59,Mundoo Barrage Upstream,26/06/2025,Cylindrospermopsis raciborskii,"9,170,000 Cells/L"
60,Mundoo Barrage Upstream,17/06/2025,Green Algae - Total,"13,400,000 Cells/L"
61,Mundoo Barrage Upstream,17/06/2025,Toxin producing BGA - Total,"21,400,000 Cells/L"
62,Mundoo Barrage Upstream,17/06/2025,Algae - Total,"789,000,000 Cells/L"
63,Mundoo Barrage Upstream,17/06/2025,Blue Green Algae - Total,"775,000,000 Cells/L"
64,Mundoo Barrage Upstream,17/06/2025,Diatoms - Total,0 Cells/L
65,Mundoo Barrage Upstream,17/06/2025,Geosmin-MIB producing BGA - Total,"194,000 Cells/L"
66,Mundoo Barrage Upstream,17/06/2025,Planctonema,"900,000 Cells/L"
67,Mundoo Barrage Upstream,17/06/2025,Tetrastrum,"2,800,000 Cells/L"
68,Mundoo Barrage Upstream,17/06/2025,Kirchneriella,"525,000 Cells/L"
69,Mundoo Barrage Upstream,17/06/2025,Planktolyngbya,"80,600,000 Cells/L"
70,Mundoo Barrage Upstream,17/06/2025,Cyanodictyon,"51,000,000 Cells/L"
71,Mundoo Barrage Upstream,17/06/2025,Other Organisms,"1,850,000 Cells/L"
72,Mundoo Barrage Upstream,17/06/2025,Cyanocatena,"16,600,000 Cells/L"
73,Mundoo Barrage Upstream,17/06/2025,Aphanizomenon,"60,400,000 Cells/L"
74,Mundoo Barrage Upstream,17/06/2025,Phytoflagellates,"2,250,000 Cells/L"
75,Mundoo Barrage Upstream,17/06/2025,Merismopedia,"208,000,000 Cells/L"
76,Mundoo Barrage Upstream,17/06/2025,Aphanothece,"10,000,000 Cells/L"
77,Mundoo Barrage Upstream,17/06/2025,Cyanogranis,"327,000,000 Cells/L"
78,Mundoo Barrage Upstream,17/06/2025,Pseudanabaena,"194,000 Cells/L"
79,Mundoo Barrage Upstream,17/06/2025,Crucigenia,"800,000 Cells/L"
80,Mundoo Barrage Upstream,17/06/2025,Gymnodinium,"200,000 Cells/L"
81,Mundoo Barrage Upstream,17/06/2025,Cylindrospermopsis raciborskii,"21,300,000 Cells/L"
82,Mundoo Barrage Upstream,17/06/2025,Nodularia spumigena,"144,000 Cells/L"
83,Mundoo Barrage Upstream,17/06/2025,Oocystis,"1,100,000 Cells/L"
84,Mundoo Barrage Upstream,17/06/2025,Dolichospermum (straight small),"78,000 Cells/L"
85,Mundoo Barrage Upstream,17/06/2025,Monoraphidium,"1,120,000 Cells/L"
86,Mundoo Barrage Upstream,17/06/2025,Scenedesmus,"3,950,000 Cells/L"
87,Mundoo Barrage Upstream,11/06/2025,Diatoms - Total,"820,000 Cells/L"
88,Mundoo Barrage Upstream,11/06/2025,Toxin producing BGA - Total,"24,700,000 Cells/L"
